Journal,Publications
Sustainability (Switzerland),328
Journal of Cleaner Production,102
Cleaner Logistics and Supply Chain,60
Business Strategy and the Environment,56
Environmental Science and Pollution Research,51
Logistics,48
Uncertain Supply Chain Management,47
Lecture Notes in Networks and Systems,43
International Journal of Production Economics,41
International Journal of Logistics Research and Applications,38
Transportation Research Part E: Logistics and Transportation Review,34
Lecture Notes in Mechanical Engineering,33
Benchmarking,33
Sustainability (Switzerland) ,33
Computers and Industrial Engineering,32
E3S Web of Conferences,31
International Journal of Logistics Systems and Management,29
International Journal of Production Research,28
International Journal of Logistics Management,27
"Environment, Development and Sustainability",27
